"MassBank ID","CID","RRP","BC","WC","TC","Runtime in s"
"PR100121PR100122",13804,1.000,0,50902,50910,477
"PR100113PR100114",834,1.000,"0",34475,34491,283
"PR100317",13804,0.999,0,50852,50910,448
"PR100239",5319853,0.999,0,"72031",72127,867
"PR100390",165627,0.999,5,8735,8743,100
"PR100329",717531,0.999,0,29768,29828,252
"PR100198",439155,0.999,"48",105480,105691,950
"PR101031",5274585,0.999,16,46540,46649,526
"PR100359",6441269,0.999,35,71951,72127,793
"PR100296",92136,0.998,7,8717,8743,84
"PR100076",34755,0.998,12,107657,108138,932
"PR100363",442456,0.998,12,9711,9745,200
"PR100277",160556,0.997,98,63536,63768,497
"PR100249",92794,0.997,35,80451,80855,898
"PR100447",5320863,0.997,106,70812,71109,854
"PR100395",65065,0.997,17,11783,11839,113
"PR100256",5280459,0.997,118,69911,70272,587
"PR101033",5280459,0.997,118,69911,70272,893
"PR101047",5280459,0.997,118,69911,70272,423
"PR100386",1029,0.996,19,11782,11855,140
"PR101022",5318759,0.996,"153",54264,54545,687
"PR100001PR100002",2901,0.996,3,4936,4974,26
"PR100351",101781,0.996,209,71749,72127,1147
"PR100248",5281673,0.996,81,59419,59828,879
"PR101027",5281673,0.995,196,59464,59828,469
"PR101007",5316673,0.995,285,78101,78553,639
"PR101024",5316673,0.995,313,78082,78553,1020
"PR100243",5282102,0.995,256,69786,70272,1327
"PR100253",5281643,0.994,208,59338,59828,405
"PR101012",5281643,0.994,232,59356,59828,2163
"PR101021",5481882,0.993,178,89873,90914,1483
"PR100240",5318645,0.993,232,55942,56492,738
"PR101025",5282102,0.993,351,69641,70272,832
"PR100335",65127,0.993,161,36266,36630,350
"PR100254",5280804,0.992,327,59166,59828,318
"PR100469",25674,0.991,39,8969,9090,97
"PR100475",5281417,0.990,220,80697,82100,803
"PR100175",6288,0.990,"11",2027,2059,25
"PR100315",99289,0.990,11,2027,2059,16
"PR100366",5321576,0.990,120,26692,27134,425
"PR100334",439574,0.988,5,2970,3036,28
"PR100449",441031,0.988,5,2970,3036,25
"PR100326",123938,0.988,427,41563,42144,400
"PR100367",5321577,0.988,265,26740,27134,232
"PR100436PR100437",439227,0.987,23,4863,4974,47
"PR101030",5481224,0.982,351,68928,71109,436
"PR100314",440018,0.982,1203,92875,95106,751
"PR100221",137,0.981,10,4160,4316,6
"PR100137",14982,0.981,0,1245,1296,17
"PR100258",14982,0.981,0,1245,1296,22
"PR100166",439579,0.980,512,47480,48887,443
"PR100035PR100036",6057,0.980,0,13183,13733,55
"PR100157PR100158",6322,0.979,165,14779,15256,184
"PR100303",6322,0.979,165,14779,15256,160
"PR100368",5320686,0.979,0,7828,8174,47
"PR100163PR100164",5961,0.978,134,8505,8758,86
"PR101023",5320686,0.978,14,7822,8174,119
"PR100252",5484066,0.977,61,"7750",8057,131
"PR100322",5962,0.976,143,8158,8417,85
"PR100153PR100154",439277,0.975,0,309,326,6
"PR100420",70914,0.975,329,15535,15995,45
"PR100093",637775,0.975,468,31226,32403,294
"PR100349",5883291,0.975,84,8449,8815,183
"PR100241",5481663,0.975,10,5710,6007,90
"PR100244",5318767,0.974,21,8383,8815,173
"PR100354",10621,0.972,12,7509,7950,125
"PR100304PR100305",439232,0.971,280,14931,15546,86
"PR100267PR100268",6950385,0.971,"265",14002,14585,135
"PR100162",33032,0.971,161,5843,6035,58
"PR101009",5323562,0.970,304,10838,11203,89
"PR100199",193653,0.970,35,10482,11125,109
"PR101034",5323562,0.967,326,10792,11203,183
"PR101046",5323562,0.967,326,10792,11203,57
"PR100325",2724705,0.960,0,11343,12319,144
"PR100448",9750,0.958,305,11068,11761,41
"PR100456",5320835,0.956,187,4896,5160,86
"PR100280",2761525,0.952,177,5843,6269,59
"PR100306",439389,0.951,307,8199,8743,27
"PR100320",10917,0.944,234,7721,8426,40
"PR100299",439406,0.942,1486,27520,29428,225
"PR100290",2761558,0.941,128,3785,4147,35
"PR100260",107982,0.938,119,"34592",39387,333
"PR100259",1548943,0.936,71,41713,47808,444
"PR100263",182232,0.917,1655,54277,63106,544
"PR100338",16211048,0.915,350,5552,6269,57
"PR100161",88513,0.915,2501,52074,59736,568
"PR101055",11953815,0.909,4901,72002,82100,1212
"PR100211",23724461,0.906,215,3515,4068,65
"PR100013",5280567,0.899,555,13063,15656,220
"PR100220",119,0.897,77,1210,1427,13
"PR100067PR100068",439217,0.892,2371,32269,38088,377
"PR101041",8655,0.891,453,14331,17731,245
"PR100272",99478,0.890,474,5176,6035,58
"PR100242",5281693,0.888,83,1419,1724,24
"PR100291",5706676,0.887,313,3132,3643,30
"PR100286",1502076,0.883,71,1648,2059,20
"PR100212",73323,0.871,6532,55016,65319,776
"PR100336",152306,0.871,3525,34738,42078,360
"PR100279",5780,0.856,2239,15931,19254,197
"PR100169PR100170",21236,0.841,531,3355,4147,43
"PR100282",5706673,0.830,313,6314,9090,96
"PR100006",24405,0.768,14812,52467,70324,761
"PR100324",24405,0.768,14812,52467,70324,608
"PR100380",1662,0.758,1124,7471,12319,96
"PR100365",5320844,0.756,1585,32262,59828,642
"PR100441",5281576,0.741,15049,48426,69191,604
"PR100222",564,0.710,847,2592,4147,21
"PR100215",439656,0.682,619,1367,2059,21
"PR100121PR100122",138,0.677,447,1357,2573,21
"PR100332PR100333",7971,0.500,0,0,682,6
"PR100048",8871,0.500,0,0,682,8
"PR100094PR100095",439335,0.500,0,0,2155,24
"PR100143",439225,0.500,0,0,4187,44
"PR100134PR100135",65359,0.500,"0",0,6324,74
"PR100357",5490298,0.500,0,0,7169,34
"PR100356",5317025,0.500,0,0,9292,187
"PR100371",5282151,0.500,"0",0,11203,94
"PR100069PR100070",5280951,0.500,0,0,28152,220
"PR100229",5281666,0.500,0,0,62470,526
"PR100139PR100140",6802,0.500,0,0,64733,528
"PR100246",114776,0.500,0,0,70272,652
"PR100370",5280441,0.500,0,0,78553,682
"PR100251",5281807,0.500,0,0,101329,780
"PR100378",34755,0.500,0,0,108138,379
"PR100399",493570,0.500,3,0,102257,772
"PR100127",7427,0.500,4,0,89036,735
"PR100056PR100057",1052,0.500,1,0,16077,145
"PR100100PR100101",6076,0.500,4,0,61985,555
"PR100440",5282054,0.500,3,0,30008,268
"PR100014PR100015",5202,0.500,2,0,15601,12
"PR100362",442813,0.500,13,0,84869,616
"PR100353",5281621,0.500,9,"0",49954,847
"PR100360",6450184,0.500,13,0,70272,331
"PR100247",5280637,0.499,71,0,70272,171
"PR100403",4644,0.499,12,0,11018,128
"PR100227",5281654,0.499,93,0,60225,658
"PR100023",227,0.499,7,0,4402,41
"PR100312",5280378,0.499,86,0,52402,436
"PR100072PR100073",439224,0.499,57,0,33551,339
"PR100096PR100097",89,0.499,64,0,33591,148
"PR100192",980,0.499,10,0,5213,58
"PR100107PR100108",6115,0.499,1,0,520,6
"PR100274",1051,0.498,84,0,27306,220
"PR100323",449093,0.498,"99",0,30440,106
"PR100029",6106,0.498,"16",0,4147,19
"PR100275",1050,0.498,42,0,10541,114
"PR100418PR100419",6723,0.498,52,0,12789,121
"PR100043PR100044",24154,0.498,58,"0",14257,81
"PR100125PR100126",439213,0.498,58,0,14257,36
"PR100091PR100092",6047,0.498,74,0,17006,151
"PR101049",5748601,0.497,409,0,70272,251
"PR100264",72276,0.497,431,0,63106,101
"PR100262",9064,0.497,437,0,63106,602
"PR100210",5610,0.496,32,0,4276,48
"PR100219",14180,0.496,537,0,63501,675
"PR100004PR100005",445858,0.496,197,0,23009,106
"PR100089PR100090",91531,0.496,546,0,63336,653
"PR100377",439498,0.495,167,0,16705,185
"PR100385",64969,0.495,126,0,11476,35
"PR100273",65059,0.494,808,0,73300,622
"PR100165",165271,0.494,75,0,6621,63
"PR100309",65110,0.494,848,0,72521,575
"PR100054",10256,0.493,93,0,6578,85
"PR100358",5319116,0.492,1151,0,70272,724
"PR100423PR100424",6228,0.491,"6",0,345,3
"PR100177",4032,0.491,"129",0,7376,86
"PR100225",5281708,0.491,774,0,42047,413
"PR100417",135,0.491,127,0,6810,55
"PR100406",3845,0.491,275,0,14626,139
"PR100010PR100011",1318,0.489,"415",0,18859,198
"PR100330",5324677,0.489,671,0,29828,27
"PR100042",637760,0.487,792,0,30570,367
"PR101045",69867,0.486,243,0,8783,98
"PR100339",2761537,0.485,415,0,14102,143
"PR100289",2761554,0.485,557,0,18585,173
"PR100201PR100202",5430,0.484,515,0,16548,156
"PR100319",6804,0.484,2388,0,72634,740
"PR100186",967,0.483,353,0,10303,132
"PR100115PR100116",6175,0.483,1244,0,35937,282
"PR100266",11250133,0.478,472,0,10608,115
"PR100193",378,0.478,607,0,13515,144
"PR100297PR100298",72924,0.477,235,0,5213,44
"PR100217",67701,0.477,"200",0,4311,45
"PR100292",1051,0.477,1271,0,27306,217
"PR100039",5280567,0.476,"740",0,15656,37
"PR100003",5280536,0.476,870,0,17982,214
"PR100261",637542,0.474,677,0,13098,169
"PR100059",637511,0.474,298,0,5711,45
"PR100110",689043,0.473,"930",0,17204,76
"PR100271",736715,0.472,424,0,7478,80
"PR100209",6440982,0.471,4788,0,83130,885
"PR100147",800,0.471,541,0,9312,111
"PR100307",199,0.470,"363",0,5960,50
"PR100318",6131,0.469,3661,0,58125,565
"PR100288",2761550,0.468,"2084",0,32750,309
"PR100383",3469,0.467,645,0,9895,118
"PR100077",89594,0.466,767,0,11426,129
"PR100364",5280781,0.464,5447,0,75207,535
"PR100049PR100050",351795,0.463,987,0,13296,192
"PR100473",5280569,0.461,1165,0,15122,129
"PR101044",398554,0.461,941,0,12036,159
"PR101042",637775,0.458,2723,0,32403,459
"PR101043",10256,0.454,603,0,6578,30
"PR100472",5280460,0.453,"1936",0,20491,196
"PR100384",1145,0.453,36,0,380,4
"PR100474",5281416,0.452,1451,0,15122,141
"PR100233",5280343,0.452,5051,0,52403,530
"PR100392",112072,0.450,3867,0,38762,406
"PR100213",6119,0.450,"143",0,1427,15
"PR100197",40539,0.449,1502,0,14607,149
"PR100234",5281691,0.448,6319,0,60225,318
"PR100337",7618,0.444,620,0,5586,71
"PR100409PR100410",5570,0.443,502,0,4402,40
"PR100016PR100017","65040",0.432,519,0,3805,33
"PR100188",6604563,0.432,3620,0,26509,285
"PR100295",6613,0.431,4228,0,30449,224
"PR100400",6613,0.430,4248,0,30449,251
"PR100152",8582,0.426,9918,0,66605,636
"PR100257",107971,0.414,17442,0,101329,178
"PR100470",444795,0.414,8302,0,48047,535
"PR100228",5280863,0.405,10376,0,54468,500
"PR100398",6441567,0.404,1862,0,9738,112
"PR100027PR100028",6274,0.399,1910,0,9452,102
"PR100226",440735,0.397,12217,0,59060,587
"PR100391",439224,0.381,7995,0,33551,337
"PR100379",4396761,0.372,2937,0,11476,149
"PR100321",6274,0.368,2502,0,9452,114
"PR100223PR100224",5280443,0.353,14943,0,50991,572
"PR100373",3611,0.350,4016,0,13391,181
"PR100308",916,0.349,4893,0,16208,128
"PR100415",70639,0.344,4491,0,14432,162
"PR100425",6433206,0.336,3199,0,9765,39
"PR100230PR100231",5280445,0.313,20331,0,54468,615
"PR100408",763,0.305,1027,0,2641,23
"PR100119PR100120",6132,0.302,19228,0,48529,561
"PR100414",4687,0.301,7494,0,18873,186
"PR100185",637540,0.297,"5319",0,13098,191
"PR101040",6433206,0.286,4180,0,9765,57
"PR100394",649,0.261,1992,0,4175,42
"PR100413",70346,0.250,11168,0,22378,209
